,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE
35,17850,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17850.00,6686,3790,130.87016574585635,41721,9.05,159.6,-54.30000000000001,-25.385694249649372,47400,36700,100,158,1150,159.6,17856.5
36,17900,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17900.00,30423,8000,35.67765241047139,95609,8.98,131,-51.099999999999994,-28.061504667764964,67650,58050,50,131,550,132,17856.5
37,17950,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17950.00,2797,354,14.490380679492427,13391,8.94,106,-49.400000000000006,-31.78893178893179,38500,15750,300,106,400,108,17856.5
38,18000,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18000.00,73386,6273,9.346922354834383,136399,9.1,87,-42.099999999999994,-32.610379550735864,134000,196850,200,86.55,50,87.7,17856.5
39,18050,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18050.00,4663,398,9.331770222743259,19269,9.14,69.35,-37.650000000000006,-35.186915887850475,49400,11600,50,67.6,50,69.35,17856.5
40,18100,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18100.00,31737,4457,16.337976539589445,75236,9.02,52.7,-34.45,-39.529546758462416,56050,57650,50,52.55,50,53.4,17856.5
41,18150,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18150.00,7897,954,13.740458015267176,19420,8.6,36,-34.7,-49.08062234794908,54800,9500,50,36.35,100,40.5,17856.5
42,18200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18200.00,40704,3219,8.587434973989597,86467,8.89,29,-26.049999999999997,-47.32061762034514,94300,77850,900,29,50,29.8,17856.5
43,18250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18250.00,6481,1428,28.260439342964574,18979,8.79,20.55,-21.95,-51.64705882352941,72450,7900,50,20.7,250,22,17856.5
44,18300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18300.00,34111,4645,15.763931310663137,73144,8.73,14.35,-18.449999999999996,-56.249999999999986,98800,112550,600,14.35,20050,15,17856.5
45,18350,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18350.00,5056,-129,-2.4879459980713596,17304,8.99,11.3,-13.7,-54.79999999999999,72450,27450,50,11.1,100,12,17856.5
46,18400,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE18400.00,21883,951,4.5432830116567935,64112,9.14,8.5,-9.7,-53.2967032967033,106450,31100,100,8.25,50,8.7,17856.5
